source_file,sheet,month,metric,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GTB\02_204-GRD_SMC_C63_PM57_25_07_08.xlsm,Convergences,2025-07,BG,-0.25174730496679887,-2.879438366500509,False
C:\Temp\1-tableaux\GTB\02_204-GRD_SMC_C63_PM57_25_07_08.xlsm,Convergences,2025-07,HG,-0.8716832658373087,-1.83738593720606,False
C:\Temp\1-tableaux\GTB\02_204-GRD_SMC_C63_PM57_25_07_08.xlsm,Convergences,2025-07,HD,-0.17499277361521237,-2.810255084393365,False
C:\Temp\1-tableaux\GTB\02_204-GRD_SMC_C63_PM57_25_07_08.xlsm,Convergences,2025-07,BD,0.1793410572106242,-3.996792516030912,False
C:\Temp\1-tableaux\GTB\02_204-GRD_SMC_C63_PM57_25_07_08.xlsm,Convergences,2025-07,LH,-1.299551726987147,-3.825920371963498,False
C:\Temp\1-tableaux\GTB\02_204-GRD_SMC_C63_PM57_25_07_08.xlsm,Convergences,2025-07,LB,-0.4521257021652403,-3.858566872051661,False
C:\Temp\1-tableaux\GTB\02_204-GRD_SMC_C63_PM57_25_07_08.xlsm,Convergences,2025-07,IG,,,
C:\Temp\1-tableaux\GTB\02_204-GRD_SMC_C63_PM57_25_07_08.xlsm,Convergences,2025-07,ID,,,
C:\Temp\1-tableaux\GTB\02_204-GRD_SMC_C63_PM57_25_07_08.xlsm,Convergences,2025-07,LI,,,
C:\Temp\1-tableaux\GTB\02_205-GTB_SMC_C004_PM002_25_07_08.xlsm,Convergences,2025-07,BG,-1.6705626042803345,-46.046352153158665,False
C:\Temp\1-tableaux\GTB\02_205-GTB_SMC_C004_PM002_25_07_08.xlsm,Convergences,2025-07,HG,,-35.58296748196366,True
C:\Temp\1-tableaux\GTB\02_205-GTB_SMC_C004_PM002_25_07_08.xlsm,Convergences,2025-07,HD,0.8874960051903358,11.955718284058836,False
C:\Temp\1-tableaux\GTB\02_205-GTB_SMC_C004_PM002_25_07_08.xlsm,Convergences,2025-07,BD,0.37503276438944155,-9.762098317974475,False
C:\Temp\1-tableaux\GTB\02_205-GTB_SMC_C004_PM002_25_07_08.xlsm,Convergences,2025-07,LH,,-15.132359347951764,True
C:\Temp\1-tableaux\GTB\02_205-GTB_SMC_C004_PM002_25_07_08.xlsm,Convergences,2025-07,LB,-0.41240718838864154,-19.84059262731286,False
C:\Temp\1-tableaux\GTB\02_205-GTB_SMC_C004_PM002_25_07_08.xlsm,Convergences,2025-07,IG,,,
C:\Temp\1-tableaux\GTB\02_205-GTB_SMC_C004_PM002_25_07_08.xlsm,Convergences,2025-07,ID,,,
C:\Temp\1-tableaux\GTB\02_205-GTB_SMC_C004_PM002_25_07_08.xlsm,Convergences,2025-07,LI,,,
C:\Temp\1-tableaux\GTB\02_206-GTB_SMC_C009_PM007_25_07_08.xlsm,Convergences,2025-07,BG,-0.8567227749880431,-37.224225268365885,False
C:\Temp\1-tableaux\GTB\02_206-GTB_SMC_C009_PM007_25_07_08.xlsm,Convergences,2025-07,HG,-0.26812541286736113,-14.580767741058764,False
C:\Temp\1-tableaux\GTB\02_206-GTB_SMC_C009_PM007_25_07_08.xlsm,Convergences,2025-07,HD,-1.5580252606968088,-43.240888488096815,False
C:\Temp\1-tableaux\GTB\02_206-GTB_SMC_C009_PM007_25_07_08.xlsm,Convergences,2025-07,BD,-0.5455317467060183,-56.76987707184722,False
C:\Temp\1-tableaux\GTB\02_206-GTB_SMC_C009_PM007_25_07_08.xlsm,Convergences,2025-07,LH,-1.0574111077064074,-28.52915388512134,False
C:\Temp\1-tableaux\GTB\02_206-GTB_SMC_C009_PM007_25_07_08.xlsm,Convergences,2025-07,LB,0.10493023173552274,-38.10841963409661,False
C:\Temp\1-tableaux\GTB\02_206-GTB_SMC_C009_PM007_25_07_08.xlsm,Convergences,2025-07,IG,,,
C:\Temp\1-tableaux\GTB\02_206-GTB_SMC_C009_PM007_25_07_08.xlsm,Convergences,2025-07,ID,,,
C:\Temp\1-tableaux\GTB\02_206-GTB_SMC_C009_PM007_25_07_08.xlsm,Convergences,2025-07,LI,,,
C:\Temp\1-tableaux\GTB\02_207-GTB-SMC1-T16-PM13_25_07_08.xlsm,Convergences,2025-07,BG,,-4.093113223958333,True
C:\Temp\1-tableaux\GTB\02_207-GTB-SMC1-T16-PM13_25_07_08.xlsm,Convergences,2025-07,HG,-0.15866720774981857,-23.476394496196207,False
C:\Temp\1-tableaux\GTB\02_207-GTB-SMC1-T16-PM13_25_07_08.xlsm,Convergences,2025-07,HD,0.09138709925560207,-29.442975686831296,False
C:\Temp\1-tableaux\GTB\02_207-GTB-SMC1-T16-PM13_25_07_08.xlsm,Convergences,2025-07,BD,,-2.7875198697895343,True
C:\Temp\1-tableaux\GTB\02_207-GTB-SMC1-T16-PM13_25_07_08.xlsm,Convergences,2025-07,LH,,-23.790893647817946,True
C:\Temp\1-tableaux\GTB\02_207-GTB-SMC1-T16-PM13_25_07_08.xlsm,Convergences,2025-07,LB,,-3.769815905106277,True
C:\Temp\1-tableaux\GTB\02_207-GTB-SMC1-T16-PM13_25_07_08.xlsm,Convergences,2025-07,IG,,-17.154587652284725,True
C:\Temp\1-tableaux\GTB\02_207-GTB-SMC1-T16-PM13_25_07_08.xlsm,Convergences,2025-07,ID,,-41.51740101203583,True
C:\Temp\1-tableaux\GTB\02_207-GTB-SMC1-T16-PM13_25_07_08.xlsm,Convergences,2025-07,LI,,-35.3588941901819,True
C:\Temp\1-tableaux\GTB\02_208-GTB-SMC1-T24-PM19_25-07_08.xlsm,Convergences,2025-07,BG,,-1.2277717311839351,True
C:\Temp\1-tableaux\GTB\02_208-GTB-SMC1-T24-PM19_25-07_08.xlsm,Convergences,2025-07,HG,0.1602407813017237,-6.824200351424281,False
C:\Temp\1-tableaux\GTB\02_208-GTB-SMC1-T24-PM19_25-07_08.xlsm,Convergences,2025-07,HD,0.10608482922691387,-12.14157959069695,False
C:\Temp\1-tableaux\GTB\02_208-GTB-SMC1-T24-PM19_25-07_08.xlsm,Convergences,2025-07,BD,,-3.200115249731184,True
C:\Temp\1-tableaux\GTB\02_208-GTB-SMC1-T24-PM19_25-07_08.xlsm,Convergences,2025-07,LH,0.7842771351453948,-23.865464042677864,False
C:\Temp\1-tableaux\GTB\02_208-GTB-SMC1-T24-PM19_25-07_08.xlsm,Convergences,2025-07,LB,,-5.513067442297626,True
C:\Temp\1-tableaux\GTB\02_208-GTB-SMC1-T24-PM19_25-07_08.xlsm,Convergences,2025-07,IG,,-6.871590497156355,True
C:\Temp\1-tableaux\GTB\02_208-GTB-SMC1-T24-PM19_25-07_08.xlsm,Convergences,2025-07,ID,,-3.6555892270753176,True
C:\Temp\1-tableaux\GTB\02_208-GTB-SMC1-T24-PM19_25-07_08.xlsm,Convergences,2025-07,LI,,-33.69286199481536,True
C:\Temp\1-tableaux\GTB\02_209-GTB-SMC1-T32-PM25_25-07-08.xlsm,Convergences,2025-07,BG,,-1.3635319195071105,True
C:\Temp\1-tableaux\GTB\02_209-GTB-SMC1-T32-PM25_25-07-08.xlsm,Convergences,2025-07,HG,-0.1068069166811938,-27.41170550701844,False
C:\Temp\1-tableaux\GTB\02_209-GTB-SMC1-T32-PM25_25-07-08.xlsm,Convergences,2025-07,HD,-0.319807997525956,10.042919707058395,False
C:\Temp\1-tableaux\GTB\02_209-GTB-SMC1-T32-PM25_25-07-08.xlsm,Convergences,2025-07,BD,,-1.1259465600836904,True
C:\Temp\1-tableaux\GTB\02_209-GTB-SMC1-T32-PM25_25-07-08.xlsm,Convergences,2025-07,LH,-1.0875180857512508,-11.898535326504422,False
C:\Temp\1-tableaux\GTB\02_209-GTB-SMC1-T32-PM25_25-07-08.xlsm,Convergences,2025-07,LB,,-2.977319121358235,True
C:\Temp\1-tableaux\GTB\02_209-GTB-SMC1-T32-PM25_25-07-08.xlsm,Convergences,2025-07,IG,,-28.386252741874785,True
C:\Temp\1-tableaux\GTB\02_209-GTB-SMC1-T32-PM25_25-07-08.xlsm,Convergences,2025-07,ID,,7.994902075696864,True
C:\Temp\1-tableaux\GTB\02_209-GTB-SMC1-T32-PM25_25-07-08.xlsm,Convergences,2025-07,LI,,-11.288041661607906,True
