source_file,sheet,month,measure_label,col_index,col_letter,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DZ centre haut,14,N,-0.5500000000040473,-70.4499999999939,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DPM haut droit,15,O,-3.1938902854662388,-1.3068454564741927,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DH haut droit,16,P,-0.36766228602669315,-14.824808110632581,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DZ haut droit,17,Q,0.13333333333775954,-11.766666666659376,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DPM inter droit,18,R,-3.0438578487004264,-0.7751912613969125,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DH inter droit,19,S,-0.33447548916409886,-33.592003253449576,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DZ inter droit,20,T,0.950000000003115,7.750000000001478,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DPM bas droit,21,U,-3.2835767135690475,-3.2266123460953366,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DH bas droit,22,V,-0.648555091010472,-2.249493988231599,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Déplacements,2025-07,DZ bas droit,23,W,1.300000000000523,1.4499999999912916,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DPM bas gauche,3,C,,0.0,True
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DH bas gauche,4,D,,0.0,True
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DZ bas gauche,5,E,,0.0,True
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DPM inter gauche,6,F,1.991684013500361,2.3011438107332083,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DH inter gauche,7,G,4.128643208179739,31.85776561922271,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DZ inter gauche,8,H,-3.6000000000058208,-27.000000000001023,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DPM haut gauche,9,I,-1.6901495745003103,0.3716942471356788,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DH haut gauche,10,J,0.6903583307811267,7.38952242528379,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DZ haut gauche,11,K,-3.11999999998136,-25.719999999978427,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DPM centre haut,12,L,0.17045437737195357,-7.433680679667987,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DH centre haut,13,M,0.3443038632116311,6.949387486566316,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DZ centre haut,14,N,-1.599999999996271,-52.79999999999063,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DPM haut droit,15,O,1.0389691536865087,1.3922950041589388,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DH haut droit,16,P,-0.4533689705819022,-12.094896377953468,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DZ haut droit,17,Q,-0.6500000000073669,-13.650000000012597,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DPM inter droit,18,R,1.11107535312982,-0.2070699622507277,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DH inter droit,19,S,-1.9093222770365514,-28.8951055768214,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DZ inter droit,20,T,-2.200000000001978,-15.800000000012915,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Déplacements,2025-07,DPM bas droit,21,U,,0.0,True
