H;V;PM
2.094;0.870;53.040
2.105;0.944;53.069
2.145;1.629;53.172
2.155;1.729;53.197
2.164;1.829;53.222
2.108;1.131;53.105
2.181;2.091;53.265
2.185;2.168;53.276
2.138;1.374;53.179
1.995;4.338;52.883
2.199;2.360;53.311
2.227;3.148;53.386
2.222;2.928;53.376
2.220;2.889;53.372
2.227;2.749;53.386
2.214;2.423;53.362
2.222;3.090;53.383
2.228;2.724;53.395
2.229;2.587;53.399
2.154;2.029;53.242
2.197;3.663;53.336
2.225;3.128;53.399
2.101;1.287;53.134
1.918;-0.167;52.743
1.929;0.079;52.770
1.918;-0.064;52.748
1.915;-0.225;52.743
1.932;4.479;52.788
1.939;0.174;52.804
2.144;2.035;53.246
1.942;0.251;52.819
1.948;4.415;52.837
1.953;0.377;52.855
1.966;0.453;52.887
1.978;0.532;52.915
2.001;4.214;52.972
2.196;2.489;53.389
1.989;0.613;52.940
1.993;0.639;52.955
2.082;1.349;53.161
2.024;0.833;53.038
2.112;1.973;53.233
2.029;4.080;53.057
2.108;1.832;53.230
2.068;3.956;53.155
2.052;1.130;53.116
2.052;1.078;53.116
2.078;1.631;53.188
2.074;1.571;53.180
2.080;1.474;53.193
2.092;1.791;53.223
2.083;1.729;53.204
1.853;-0.326;52.701
2.107;3.831;53.264
2.112;2.189;53.278
2.125;2.327;53.318
2.131;3.691;53.337
2.141;3.629;53.361
2.138;2.394;53.354
2.139;3.568;53.364
2.149;3.427;53.386
2.109;2.236;53.296
2.155;2.831;53.402
2.158;2.570;53.408
2.157;2.747;53.412
2.158;2.649;53.415
1.902;4.389;52.876
1.847;-0.066;52.759
1.845;-0.126;52.756
1.855;0.036;52.784
1.877;0.273;52.845
1.870;4.445;52.839
1.885;0.335;52.868
1.914;4.329;52.943
2.089;2.349;53.336
1.909;0.488;52.933
1.930;4.258;52.985
1.829;4.533;52.761
1.922;0.579;52.966
1.928;0.646;52.986
1.939;0.724;53.015
1.940;4.190;53.025
1.980;1.036;53.127
1.995;3.992;53.166
1.987;1.285;53.147
1.994;1.329;53.166
1.817;-0.145;52.762
1.830;4.495;52.800
2.008;1.491;53.203
2.009;3.927;53.211
2.019;1.971;53.234
2.017;1.879;53.228
2.010;1.630;53.211
2.021;2.049;53.242
2.031;3.865;53.268
2.034;2.227;53.282
1.762;-0.338;52.657
2.078;3.530;53.395
2.092;3.189;53.432
2.098;3.157;53.444
2.088;2.827;53.421
2.090;2.988;53.430
2.001;1.772;53.224
2.096;3.068;53.448
2.087;2.767;53.427
2.079;2.528;53.407
2.049;3.728;53.342
1.924;4.189;53.064
1.858;4.375;52.930
1.781;4.533;52.776
1.781;-0.013;52.787
1.985;2.169;53.273
1.767;-0.206;52.757
1.791;0.076;52.816
1.929;1.192;53.146
1.813;0.275;52.874
1.824;0.372;52.910
1.837;0.444;52.944
1.851;0.510;52.979
1.861;0.633;53.010
1.857;4.309;53.010
1.873;0.771;53.045
2.024;3.612;53.410
2.022;3.569;53.410
1.943;1.770;53.220
1.922;1.272;53.171
1.891;0.930;53.097
1.806;4.434;52.901
1.941;1.628;53.227
1.990;2.376;53.350
1.969;3.850;53.307
1.869;4.238;53.073
1.990;3.770;53.363
2.003;2.484;53.399
1.998;3.689;53.391
2.008;3.469;53.415
2.022;3.270;53.447
2.023;2.767;53.449
2.024;2.671;53.456
2.014;2.570;53.431
2.027;3.029;53.466
2.022;2.970;53.461
2.006;3.368;53.435
1.899;1.339;53.198
1.919;2.099;53.251
1.805;0.469;52.974
1.665;-0.353;52.638
1.869;1.070;53.142
1.756;4.531;52.876
1.961;2.435;53.380
1.894;2.068;53.230
1.945;2.412;53.360
1.724;4.627;52.825
1.762;4.477;52.923
1.960;2.568;53.417
1.705;-0.127;52.779
1.725;0.094;52.836
1.704;-0.066;52.787
1.776;4.417;52.976
1.738;0.231;52.877
1.713;0.034;52.814
1.753;0.334;52.918
1.838;4.240;53.136
1.820;0.878;53.094
1.788;0.562;53.013
1.811;4.296;53.078
1.964;2.866;53.460
1.812;0.830;53.082
1.844;4.173;53.168
1.858;4.084;53.203
1.836;1.114;53.146
1.800;0.730;53.054
1.868;1.431;53.230
1.888;2.151;53.283
1.865;1.957;53.225
1.859;1.790;53.211
1.881;3.935;53.271
1.859;1.830;53.215
1.851;1.322;53.194
1.840;1.248;53.167
1.899;3.868;53.319
1.918;3.807;53.369
1.895;2.234;53.307
1.931;3.727;53.403
1.940;3.469;53.428
1.965;3.070;53.493
1.948;2.628;53.450
1.953;3.372;53.466
1.958;3.027;53.479
1.957;2.966;53.477
1.948;3.266;53.458
1.782;4.369;53.042
1.603;-0.395;52.592
1.890;2.329;53.328
1.856;4.010;53.250
1.939;2.767;53.468
1.938;3.128;53.474
1.679;0.077;52.832
1.661;-0.032;52.796
1.817;1.350;53.211
1.864;2.349;53.338
1.785;0.971;53.131
1.914;3.229;53.474
