H;V;PM
3.669962;1.659854;37.355126
3.763994;1.113342;37.400174
3.106893;3.320108;37.095016
2.990559;3.447096;37.043865
3.520741;2.140821;37.293406
3.905407;0.613489;37.472414
3.498684;2.318443;37.283497
3.450874;2.517020;37.261160
3.938188;0.173449;37.491283
3.531770;2.029547;37.306432
3.814577;0.841784;37.444713
3.889788;0.554858;37.478063
2.888023;3.566294;37.010445
2.708692;3.807795;36.928179
3.903444;0.304365;37.485830
3.869845;0.672584;37.470701
2.693038;3.854078;36.922240
3.112623;3.250439;37.118912
3.897781;0.418901;37.485649
3.897459;0.362372;37.485863
3.740850;1.052560;37.413785
3.164377;3.145116;37.146306
3.378647;2.602550;37.245504
3.295502;2.820729;37.207298
3.238177;2.961031;37.180519
2.996473;3.386500;37.074264
3.586631;1.773541;37.352598
3.598907;1.657178;37.362513
3.490442;2.071929;37.310978
3.671473;1.479157;37.397383
3.760928;0.900180;37.439748
2.651253;3.880251;36.922597
3.493422;2.034934;37.316544
3.864201;0.294160;37.490887
3.111959;3.173192;37.142419
3.807636;0.763496;37.465579
2.770709;3.648259;36.983679
3.869124;0.210973;37.497413
3.899272;-0.019517;37.512664
3.260682;2.815689;37.218277
3.600903;1.596293;37.378907
3.108831;3.141972;37.149160
2.625146;3.882047;36.927444
2.788014;3.575900;37.005389
3.844869;0.218743;37.499794
3.658852;1.334144;37.412598
2.874534;3.477615;37.050164
2.621325;3.856640;36.933920
2.623403;3.815582;36.937959
3.845434;0.188387;37.507522
2.700649;3.682602;36.973080
3.154252;3.024049;37.180358
3.102383;3.104880;37.161661
3.532095;1.777668;37.363875
3.762493;0.757489;37.472306
3.849352;0.121739;37.514954
3.624622;1.364940;37.410865
3.085802;3.124565;37.160007
3.395023;2.376720;37.305404
3.852226;0.015531;37.518221
3.411336;2.208421;37.312304
3.792183;0.329261;37.491791
3.545227;1.621111;37.379458
3.693438;0.902955;37.446212
3.293710;2.616923;37.260898
3.851317;0.045073;37.521660
3.835702;0.151620;37.515746
2.562287;3.932742;36.922558
3.604726;1.392987;37.409704
3.636170;1.190634;37.423589
3.841337;-0.017253;37.517841
3.398684;2.315057;37.313735
3.788298;0.307362;37.494611
3.296402;2.583404;37.267965
3.597615;1.426820;37.410285
2.745965;3.579737;37.013726
3.718085;0.818426;37.466545
3.270907;2.638661;37.258056
3.719941;0.798737;37.468184
2.535826;3.919901;36.916345
3.025312;3.218427;37.144326
3.043918;3.169522;37.153195
3.407928;2.126324;37.324631
3.783729;0.282059;37.500686
3.584193;1.457940;37.409184
3.496824;1.824613;37.368856
3.199650;2.805365;37.232104
3.663960;0.933354;37.448732
3.438939;1.970798;37.345366
3.120041;2.979716;37.196017
2.603024;3.776138;36.956548
3.720854;0.749809;37.478479
3.574659;1.391204;37.411274
3.228005;2.699573;37.249118
3.071903;3.070821;37.177410
3.814875;-0.017712;37.524233
3.737049;0.666818;37.488609
2.986598;3.242493;37.139698
2.650928;3.681906;36.984448
3.353161;2.403253;37.312453
2.547245;3.861894;36.940040
3.738036;0.608852;37.491409
2.606031;3.748807;36.964398
3.256084;2.614645;37.267827
3.380373;2.236667;37.326894
3.703521;0.764020;37.477835
3.081977;3.022328;37.186915
2.995416;3.209729;37.147923
3.630842;1.016211;37.444700
3.601276;1.165720;37.432999
3.261060;2.580366;37.277239
2.515272;3.902378;36.930152
3.739771;0.412536;37.501139
3.555136;1.401848;37.414933
3.608195;1.078812;37.441960
2.511434;3.887890;36.937412
3.417626;1.942017;37.359220
3.235733;2.608174;37.274773
3.389434;2.037563;37.348112
3.162482;2.774010;37.246863
3.771819;0.101121;37.532475
3.436713;1.765670;37.376794
3.542667;1.286211;37.427391
3.447311;1.631500;37.385215
3.767534;0.065626;37.534535
2.978152;3.159629;37.168528
3.245777;2.550074;37.293123
3.538725;1.251016;37.430942
3.756814;-0.037377;37.536563
3.311069;2.381890;37.328283
3.320521;2.352711;37.332583
3.749151;0.004541;37.538658
3.430313;1.645231;37.389918
3.488650;1.428993;37.418245
3.346529;2.086812;37.354118
2.744738;3.448625;37.072633
2.518142;3.798885;36.968178
3.738752;-0.094097;37.538775
3.669053;0.436177;37.507627
2.987175;3.072100;37.189152
3.661716;0.561620;37.504376
3.637455;0.683829;37.496337
3.311903;2.246421;37.345139
3.672176;0.347240;37.515514
2.844132;3.304243;37.130523
3.621669;0.743777;37.492095
3.048954;2.890817;37.227460
3.503089;1.220995;37.442200
3.598339;0.783815;37.487433
2.737624;3.431051;37.086113
2.994747;2.965244;37.209875
3.124191;2.696762;37.269803
3.305073;2.172617;37.353081
3.677283;0.176794;37.530801
3.202604;2.514748;37.310147
3.048554;2.841471;37.239089
2.886221;3.187293;37.163736
2.554473;3.671943;37.008054
3.436833;1.498817;37.420099
3.344318;1.913376;37.382220
3.382352;1.631222;37.402360
3.369794;1.688414;37.395466
2.567624;3.633333;37.021264
2.336933;3.938894;36.915495
3.313217;2.007689;37.371497
2.384455;3.890360;36.939263
3.567964;0.751636;37.493018
3.243509;2.390024;37.342732
3.682287;-0.098572;37.548338
3.683676;-0.073215;37.550390
3.448972;1.302845;37.443900
2.940666;3.023537;37.206323
3.529547;0.845446;37.481563
3.604214;0.444291;37.517491
3.461831;1.193993;37.453312
3.642439;0.178265;37.538365
2.647544;3.486485;37.073814
3.666024;-0.099996;37.550221
3.091878;2.671392;37.282756
3.666206;0.097575;37.550386
3.255550;2.320419;37.361120
3.673114;0.007793;37.555766
3.329421;1.856684;37.396082
3.162773;2.491839;37.319134
3.552120;0.666110;37.501934
3.007038;2.840086;37.247607
3.382579;1.487677;37.424122
2.727288;3.362054;37.122897
3.477301;0.992274;37.472825
3.637480;-0.101603;37.552281
2.242639;3.997853;36.901956
2.767825;3.301856;37.148391
2.527554;3.625330;37.034630
3.596636;0.240773;37.534457
2.859942;3.145194;37.190957
3.234896;2.238109;37.367690
3.457883;1.075773;37.473401
2.783725;3.270412;37.159522
3.382455;1.404456;37.439159
2.211280;4.161322;36.898123
3.543160;0.531132;37.520121
2.876874;3.042935;37.211584
3.627919;-0.031905;37.563135
2.357449;3.838841;36.973067
2.470109;3.692444;37.026724
3.336150;1.520620;37.431899
2.514464;3.597050;37.048847
3.498993;0.634200;37.509276
2.649266;3.399035;37.115490
3.459486;0.868508;37.491340
3.196989;2.322437;37.370428
3.602277;-0.104264;37.559295
3.384512;1.225847;37.462776
2.254449;3.939585;36.934589
3.532318;0.400882;37.531744
3.060903;2.546503;37.314306
2.148647;4.193357;36.889771
2.810940;3.136228;37.199392
2.924379;2.860360;37.253498
2.131825;4.195087;36.884408
3.578833;-0.107534;37.561179
2.454052;3.673088;37.035898
3.336493;1.367390;37.451601
3.477399;0.558145;37.520613
3.217081;1.935282;37.400078
3.344079;1.316766;37.459063
2.193254;4.053496;36.923197
3.401801;0.972626;37.487241
3.522222;0.280925;37.543481
3.184682;2.192451;37.386515
3.186767;2.145330;37.388789
3.560737;0.067915;37.563458
3.386990;1.127273;37.480744
3.415030;0.884499;37.494514
3.173237;2.167823;37.384290
3.035806;2.544627;37.320043
2.295962;3.844306;36.975791
2.147026;4.143560;36.905351
3.478181;0.520400;37.527109
2.443385;3.647845;37.044499
3.386615;0.998093;37.485160
3.261392;1.778339;37.427426
2.742248;3.225051;37.186061
3.480856;0.491300;37.530325
2.539826;3.476961;37.091278
3.189910;1.996451;37.395485
3.187306;2.031008;37.392605
2.095369;4.226989;36.884903
3.483702;0.464880;37.533929
3.034968;2.515339;37.325097
3.318017;1.365659;37.456485
3.178484;2.063664;37.392290
3.176882;2.119721;37.391453
2.106827;4.199899;36.892909
2.299178;3.825327;36.983464
3.060701;2.440219;37.338770
2.919282;2.775855;37.272500
2.515945;3.497047;37.084689
3.278952;1.538414;37.441747
3.536705;0.131351;37.560846
